record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
1,7,16,1977,2,NL,M,32.0,
2,7,16,1977,3,NL,M,33.0,
3,7,16,1977,2,DM,F,37.0,
4,7,16,1977,7,DM,M,36.0,
5,7,16,1977,3,DM,M,35.0,
6,7,16,1977,1,PF,M,14.0,
7,7,16,1977,2,PE,F,,
8,7,16,1977,1,DM,M,37.0,
9,7,16,1977,1,DM,F,34.0,
10,7,16,1977,6,PF,F,20.0,
11,7,16,1977,5,DS,F,53.0,
12,7,16,1977,7,DM,M,38.0,
13,7,16,1977,3,DM,M,35.0,
14,7,16,1977,8,DM,,,
15,7,16,1977,6,DM,F,36.0,
16,7,16,1977,4,DM,F,36.0,
17,7,16,1977,3,DS,F,48.0,
18,7,16,1977,2,PP,M,22.0,
19,7,16,1977,4,PF,,,
20,7,17,1977,11,DS,F,48.0,
